class	representative_genome_id
JASEIO01	GB_GCA_030017475.1
JASUSC01	GB_GCA_030446285.1
JAUUWJ01	GB_GCA_003599235.1
JAUVJM01	GB_GCA_030596585.1
JAUVQV01	GB_GCA_030609125.1
JAUVYG01	GB_GCA_030603185.1
JAUXIB01	GB_GCA_030621225.1
JAUXIQ01	GB_GCA_030620925.1
JAUYEF01	GB_GCA_030691635.1
JAUYEG01	GB_GCA_030691505.1
JAUYMQ01	GB_GCA_030698575.1
JAWLBW01	GB_GCA_041687475.1
JAWSUQ01	GB_GCA_033549265.1
JAYEMH01	GB_GCA_034717985.1
JAZFTZ01	GB_GCA_036446955.1
JBAZXJ01	GB_GCA_041659865.1
JBBIRW01	GB_GCA_037441565.1
JBBTDB01	GB_GCA_038060915.1
JBCCFW01	GB_GCA_039029535.1
JBFMBV01	GB_GCA_040755005.1
JS1	GB_GCA_000405605.1
JdFR-76	GB_GCA_002011685.1
JdFR-97	GB_GCA_002010915.1
Joyebacteria	GB_GCA_014728125.1
KKC1	RS_GCF_002207765.1
Kapaibacteriia	GB_GCA_001804565.1
Kiritimatiellia	GB_GCA_001803315.1
Koll11	GB_GCA_000954095.1
Krumholzibacteriia	GB_GCA_002085285.1
Kryptoniia	GB_GCA_001442925.1
Ktedonobacteria	GB_GCA_005881295.1
Latescibacteria	GB_GCA_000403035.1
Lentisphaeria	GB_GCA_001603055.1
Leptospiria	GB_GCA_002333425.1
Leptospirillia	GB_GCA_002387725.1
Lernaellaia	GB_GCA_003170555.1
Limnochordia	GB_GCA_001028815.1
Limnocylindria	GB_GCA_001443375.1
MHYJ01	GB_GCA_009773755.1
MSB-5A5	GB_GCA_000447245.1
MVCY01	GB_GCA_002049985.1
MWCZ01	GB_GCA_022706085.1
Magnetococcia	GB_GCA_002753095.1
Marinamargulisbacteria	GB_GCA_002296285.1
Marinisomatia	GB_GCA_000402655.1
Mcinerneyibacteria	GB_GCA_008086245.1
Methylomirabilia	GB_GCA_000091165.1
Microgenomatia	GB_GCA_000989305.1
Minisyncoccia	GB_GCA_000398025.1
Moduliflexia	GB_GCA_000739515.1
Moorellia	GB_GCA_001875325.1
Myxococcia	GB_GCA_001768075.1
NPL-UPA2	GB_GCA_003574845.1
Natranaerobiia	RS_GCF_000020005.1
Negativicutes	GB_GCA_000434475.1
Nitriliruptoria	GB_GCA_003021615.1
Nitrospinia	GB_GCA_000372225.1
Nitrospiria	GB_GCA_000196815.1
O2-12-FULL-43-9	GB_GCA_001798265.1
OFTM77	GB_GCA_029260795.1
OXYB2-FULL-49-7	GB_GCA_001789205.1
Oligoflexia	GB_GCA_002238945.1
Omnitrophia	GB_GCA_000405945.1
Orphanbacteria	GB_GCA_013002425.1
Ozemobacteria	GB_GCA_001787855.1
PGYV01	GB_GCA_002839855.1
PH28-bin88	GB_GCA_000987045.1
PLA2	GB_GCA_011525755.1
PUPC01	GB_GCA_003553185.1
Palsa-1180	GB_GCA_003136635.1
Patescibacteriia	GB_GCA_000990355.1
Peptococcia	GB_GCA_000802045.1
Phycisphaerae	GB_GCA_001303465.1
Planctomycetia	GB_GCA_000531095.1
Polarisedimenticolia	GB_GCA_001664505.1
Polyangia	GB_GCA_001303415.1
Proteinivoracia	GB_GCA_002397155.1
QNDG01	GB_GCA_003645915.1
QYQD01	GB_GCA_007280345.1
RBG-13-43-22	GB_GCA_001797675.1
RBG-13-61-14	GB_GCA_001797815.1
RBG-13-66-14	GB_GCA_001774505.1
RBG-16-64-22	GB_GCA_001803795.1
RBG-16-71-46	GB_GCA_001780165.1
RBS10-35	GB_GCA_014896375.1
RPQS01	GB_GCA_003818605.1
Rhodothermia	GB_GCA_001314545.1
Riflemargulisbacteria	GB_GCA_001783275.1
Rubrobacteria	GB_GCA_004563715.1
S145-22	GB_GCA_015493505.1
SAR324	GB_GCA_000224765.2
SBBH01	GB_GCA_005239795.1
SDB-A	GB_GCA_001412365.1
SHA-98	GB_GCA_002398515.1
SKW154	GB_GCA_026418755.1
SLGR01	GB_GCA_003553445.1
SLMV01	GB_GCA_003551215.1
SLNR01	GB_GCA_007132905.1
SM23-31	GB_GCA_001304035.1
SM23-61	GB_GCA_001304105.1
SORT01	GB_GCA_004402895.1
SURF-5	GB_GCA_003598055.1
SURF-8	GB_GCA_003598065.1
SYMT01	GB_GCA_005798285.1
SZUA-182	GB_GCA_003230535.1
SZUA-224	GB_GCA_003229375.1
SZUA-365	GB_GCA_002699105.1
